  高須地区（平成15年）

住居表示対照表 （旧新）

（平成15年３月１日住居表示実施）




       旧表示           ページ

 たかす
 高須          ・ ・ ・    1
たかす
高須                実施日 平成１５年 ３月 １日

高須７０１番地１７          高須三丁目２６番１６号

高須７０１番地１８          高須三丁目２７番１４号

高須７０１番地２０          高須三丁目２７番１４号

高須７０１番地２３          高須三丁目２７番１６号

高須７０１番地２４          高須三丁目２７番１７号

高須７０２番地１           高須三丁目２７番３４号

高須７０２番地５           高須三丁目２７番３５号

高須７０３番地８           高須二丁目１９番２０号

高須７０４番地１２          高須三丁目５番１６号

高須７０５番地３           高須二丁目１９番３１号

高須７０６番地３           高須二丁目１９番２７号

高須７０６番地３           高須二丁目１９番３０号

高須７０６番地４           高須東町２番１７号

高須７０７番地３           高須東町２番１３号

高須７０７番地８           高須東町２番１０号

高須７０７番地９           高須東町２番６号

高須７０９番地７           高須東町１番２５号

高須７０９番地１４          高須東町１番１０－５号

高須７１０番地３           高須東町１番１０－３号

高須７１０番地４           高須東町１番１０－４号

高須７１０番地５           高須東町１番３１号

高須７１１番地９           高須東町４番１号

高須７１２番地３           高須東町４番６号


              14
たかす
高須                 実施日 平成１５年 ３月 １日

      旧 表 示             新 表 示
高須７１２番地４           高須東町３番２５号

高須７１２番地１２          高須東町３番２１－８号

高須７１２番地１３          高須東町３番２１－１７号

高須７１２番地１５          高須東町３番２１－７号

高須７１２番地１６          高須東町３番２１－６号

高須７１２番地１７          高須東町３番２１－５号

高須７１２番地１８          高須東町３番１７号

高須７１２番地１９          高須東町３番１８号

高須７１２番地２０          高須東町３番２１－１５号

高須７１２番地２１          高須東町３番２１－１３号

高須７１２番地２２          高須東町３番２１－１２号

高須７１２番地２５          高須東町３番２１－４号

高須７１２番地２７          高須東町３番２１－１０号

高須７１２番地２８          高須東町３番２１－９号

高須７１２番地２９          高須東町３番２１－１４号

高須７１２番地３０          高須東町３番２０号

高須７１２番地３４          高須東町３番１９号

高須７１２番地３８          高須東町４番３号

高須７１４番地３           高須東町３番１号

高須７１４番地６           高須東町３番３号

高須７１４番地８           高須東町３番３号

高須７１６番地            高須三丁目２８番３７号

高須７１６番地８           高須三丁目２９番１８号

高須７１６番地９           高須三丁目２９番２－４号

高須７１６番地１０          高須三丁目２９番２０号

高須７１６番地１１          高須三丁目２９番２３号

高須７１６番地１３          高須三丁目２８番１３号

高須７１６番地１５          高須三丁目２８番１４－３号

高須７１６番地１６          高須三丁目２８番１４－４号

高須７１６番地１７          高須三丁目２８番１４－５号

高須７１６番地１８          高須三丁目２８番１４－７号

高須７１６番地１９          高須三丁目２８番１４－８号

高須７１６番地２０          高須三丁目２８番１４－１０号

高須７１６番地２１          高須三丁目２８番１４－９号

高須７１６番地２２          高須三丁目２９番２２号

高須７１６番地２３          高須三丁目２９番２１号

高須７１６番地２５          高須三丁目２８番１４－６号

高須７１８番地６           高須三丁目２９番２－８号

高須７１８番地７           高須三丁目２９番２－７号


              15
たかす
高須                 実施日 平成１５年 ３月 １日

      旧 表 示             新 表 示
高須７１８番地８           高須三丁目２９番２－６号

高須７１８番地９           高須三丁目２９番２－５号

高須７１９番地１           高須三丁目２８番２８号

高須７２１番地１           高須東町７番１５号

高須７２１番地２           高須三丁目２８番３０号

高須７２１番地５           高須東町７番１０号

高須７２３番地１           高須東町７番７号

高須７２３番地２           高須三丁目２８番３４号

高須７２４番地１           高須東町７番３０号

高須７２５番地４           高須東町４番８号

